"","tracks","artist","Daily.Plays"
"1","Therefore I Am","Billie Eilish","269,914"
"2","positions","Ariana Grande","200,984"
"3","Mood (feat. iann dior)","24kGoldn","186,543"
"4","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money","164,593"
"5","What You Know Bout Love","Pop Smoke","152,913"
"6","Lonely (with benny blanco)","Justin Bieber","146,961"
"7","For The Night (feat. Lil Baby & DaBaby)","Pop Smoke","129,743"
"8","Holy (feat. Chance The Rapper)","Justin Bieber","126,393"
"9","WAP (feat. Megan Thee Stallion)","Cardi B","119,581"
"10","ROCKSTAR (feat. Roddy Ricch)","DaBaby","110,458"
"11","Hawái - Remix","Maluma","109,324"
"12","Drankin N Smokin","Future","109,312"
"13","Laugh Now Cry Later (feat. Lil Durk)","Drake","108,492"
"14","Stripes Like Burberry","Future","104,237"
"15","you broke me first","Tate McRae","102,091"
"16","34+35","Ariana Grande","101,361"
"17","SO DONE","The Kid LAROI","100,711"
"18","Put Your Records On","Ritt Momney","100,042"
"19","pov","Ariana Grande","98,603"
"20","Be Like That - feat. Swae Lee & Khalid","Kane Brown","97,568"
"21","Tyler Herro","Jack Harlow","96,619"
"22","Come & Go (with Marshmello)","Juice WRLD","93,630"
"23","Levitating (feat. DaBaby)","Dua Lipa","92,632"
"24","Blinding Lights","The Weeknd","91,022"
"25","All I Want for Christmas Is You","Mariah Carey","89,101"
"26","Savage Love (Laxed - Siren Beat)","Jawsh 685","88,214"
"27","Watermelon Sugar","Harry Styles","87,917"
"28","Whoopty","CJ","83,865"
"29","Wonder","Shawn Mendes","82,809"
"30","Dynamite","BTS","81,075"
"31","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","24kGoldn","80,463"
"32","POPSTAR (feat. Drake)","DJ Khaled","80,402"
"33","Roses - Imanbek Remix","SAINt JHN","77,757"
"34","Forever After All","Luke Combs","76,943"
"35","Someone You Loved","Lewis Capaldi","76,746"
"36","HOLIDAY","Lil Nas X","74,471"
"37","Real Baby Pluto","Future","73,991"
"38","That’s It","Future","73,701"
"39","my ex's best friend (with blackbear)","Machine Gun Kelly","73,433"
"40","Marni On Me","Future","73,027"
"41","Heather","Conan Gray","72,733"
"42","Dreams - 2004 Remaster","Fleetwood Mac","72,261"
"43","Starting Over","Chris Stapleton","71,784"
"44","Mood Swings (feat. Lil Tjay)","Pop Smoke","71,548"
"45","Breaking Me","Topic","70,491"
"46","Wishing Well","Juice WRLD","70,262"
"47","Sleeping On The Floor","Future","70,009"
"48","Spicy (feat. Post Malone)","Ty Dolla $ign","69,609"
"49","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow","68,794"
"50","Midnight Sky","Miley Cyrus","68,786"
